,Datetime,Adj Close,Close,High,Low,Open,Volume
22089,2024-10-21 15:39:00+00:00,5831.3798828125,5831.3798828125,5831.419921875,5827.64013671875,5827.68994140625,4940912.0
22090,2024-10-21 15:40:00+00:00,5833.39990234375,5833.39990234375,5833.64990234375,5830.89013671875,5831.3701171875,4145709.0
22091,2024-10-21 15:41:00+00:00,5833.759765625,5833.759765625,5833.9501953125,5832.43017578125,5833.330078125,3430443.0
22092,2024-10-21 15:42:00+00:00,5831.10009765625,5831.10009765625,5833.990234375,5830.41015625,5833.81982421875,4007704.0
22093,2024-10-21 15:43:00+00:00,5832.35986328125,5832.35986328125,5832.41015625,5830.97998046875,5831.1201171875,2719805.0
22094,2024-10-21 15:44:00+00:00,5834.7900390625,5834.7900390625,5834.93994140625,5832.14013671875,5832.31005859375,3470035.0
22095,2024-10-21 15:45:00+00:00,5835.509765625,5835.509765625,5835.740234375,5834.68017578125,5834.7900390625,2790522.0
22096,2024-10-21 15:46:00+00:00,5835.4599609375,5835.4599609375,5835.8798828125,5835.1201171875,5835.4599609375,3532233.0
22097,2024-10-21 15:47:00+00:00,5835.669921875,5835.669921875,5835.669921875,5834.83984375,5835.39013671875,2655783.0
22098,2024-10-21 15:48:00+00:00,5836.47021484375,5836.47021484375,5836.64013671875,5835.2998046875,5835.6298828125,3619998.0
22099,2024-10-21 15:49:00+00:00,5838.14013671875,5838.14013671875,5838.2900390625,5836.3798828125,5836.43994140625,3303429.0
22100,2024-10-21 15:50:00+00:00,5838.990234375,5838.990234375,5840.2998046875,5837.97998046875,5837.990234375,4145394.0
22101,2024-10-21 15:51:00+00:00,5839.419921875,5839.419921875,5839.990234375,5838.97021484375,5838.97021484375,3018931.0
22102,2024-10-21 15:52:00+00:00,5840.1298828125,5840.1298828125,5840.240234375,5838.9599609375,5839.35986328125,2829907.0
22103,2024-10-21 15:53:00+00:00,5840.25,5840.25,5841.64990234375,5840.16015625,5840.16015625,3040203.0
22104,2024-10-21 15:54:00+00:00,5838.18017578125,5838.18017578125,5840.240234375,5838.18017578125,5840.14990234375,3283884.0
22105,2024-10-21 15:55:00+00:00,5841.2900390625,5841.2900390625,5841.2900390625,5838.14990234375,5838.14990234375,2963693.0
22106,2024-10-21 15:56:00+00:00,5841.85986328125,5841.85986328125,5842.35986328125,5841.33984375,5841.33984375,3014261.0
22107,2024-10-21 15:57:00+00:00,5844.22998046875,5844.22998046875,5844.31005859375,5841.81005859375,5841.81005859375,3820502.0
22108,2024-10-21 15:58:00+00:00,5842.669921875,5842.669921875,5844.58984375,5842.669921875,5844.22998046875,3518482.0
22109,2024-10-21 15:59:00+00:00,5842.06005859375,5842.06005859375,5842.66015625,5840.8701171875,5842.580078125,3520005.0
22110,2024-10-21 16:00:00+00:00,5842.81982421875,5842.81982421875,5842.9501953125,5841.85986328125,5842.009765625,3540429.0
22111,2024-10-21 16:01:00+00:00,5842.9599609375,5842.9599609375,5843.08984375,5842.5400390625,5842.77978515625,2522703.0
22112,2024-10-21 16:02:00+00:00,5843.18017578125,5843.18017578125,5843.56005859375,5843.06982421875,5843.06982421875,3819178.0
22113,2024-10-21 16:03:00+00:00,5840.3701171875,5840.3701171875,5843.3701171875,5840.1201171875,5843.2099609375,3339236.0
22114,2024-10-21 16:04:00+00:00,5841.4599609375,5841.4599609375,5841.5,5840.06005859375,5840.35986328125,3782024.0
22115,2024-10-21 16:05:00+00:00,5840.759765625,5840.759765625,5841.93994140625,5840.39990234375,5841.52978515625,3391073.0
22116,2024-10-21 16:06:00+00:00,5840.2998046875,5840.2998046875,5840.919921875,5840.25,5840.77001953125,2175495.0
22117,2024-10-21 16:07:00+00:00,5839.5400390625,5839.5400390625,5840.509765625,5839.18017578125,5840.330078125,2388261.0
22118,2024-10-21 16:08:00+00:00,5840.93994140625,5840.93994140625,5840.93994140625,5839.25,5839.6298828125,2563877.0
22119,2024-10-21 16:09:00+00:00,5841.3701171875,5841.3701171875,5841.85009765625,5841.02001953125,5841.02001953125,3637951.0
22120,2024-10-21 16:10:00+00:00,5841.41015625,5841.41015625,5841.85986328125,5841.240234375,5841.35986328125,2040335.0
22121,2024-10-21 16:11:00+00:00,5838.7900390625,5838.7900390625,5841.47021484375,5838.490234375,5841.43994140625,3080633.0
22122,2024-10-21 16:12:00+00:00,5838.47998046875,5838.47998046875,5839.25,5837.27978515625,5838.72021484375,3105814.0
22123,2024-10-21 16:13:00+00:00,5838.18017578125,5838.18017578125,5838.990234375,5837.8701171875,5838.47021484375,2943560.0
22124,2024-10-21 16:14:00+00:00,5838.93017578125,5838.93017578125,5838.93017578125,5837.97998046875,5838.2099609375,2180580.0
22125,2024-10-21 16:15:00+00:00,5840.169921875,5840.169921875,5840.169921875,5838.89013671875,5838.89013671875,2771000.0
22126,2024-10-21 16:16:00+00:00,5839.83984375,5839.83984375,5840.56005859375,5839.81005859375,5840.18994140625,2913172.0
22127,2024-10-21 16:17:00+00:00,5839.18017578125,5839.18017578125,5840.14013671875,5839.08984375,5839.83984375,2562088.0
22128,2024-10-21 16:18:00+00:00,5838.08984375,5838.08984375,5839.14990234375,5837.97998046875,5839.14990234375,2417533.0
